date,title,speaker,audio,youtube,transcript,html
2018-09-23,Let the Space in My Heart Be Open,,2018-09-23.mp3,,,
2018-09-16,Each of Us Is More,,2018-09-16.mp3,,,
2018-06-17,Love the Hell Out of this World (Matt Meyer),,2018-06-17-m-meyer.mp3,,,
2018-05-27,Keep That as a Smooth Stone,,2018-05-27.mp3,,,
2018-05-20,,,,,,"Reflections on international resettlement by <a href=""https://uugroton.github.io/sermons/2018-05-20-l-wool.mp3"" rel=""noopener"" target=""_blank"">Laura Wool</a>, <a href=""https://uugroton.github.io/sermons/2018-05-20-r-muya.mp3"" rel=""noopener"" target=""_blank"">Rogers Muyanja</a>"
2018-05-13,A Great and Common Tenderness,,2018-05-13.mp3,,,
2018-05-06,Awakening (Nick Maciel),,2018-05-06-n-maci.mp3,,,
2018-04-29,,,,,,"Coming of Age: Credo statements (in Members area) by <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-29-credo-j-huds.mp3"" rel=""noopener"" target=""_blank"">Julia Hudson</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-29-credo-o-loga.mp3"" rel=""noopener"" target=""_blank"">Olivia Logan</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-29-credo-i-stan.mp3"" rel=""noopener"" target=""_blank"">Isabel Stanley-Kemler</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-29-credo-s-huds.mp3"" rel=""noopener"" target=""_blank"">Sarah Hudson</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-29-credo-s-stra.mp3"" rel=""noopener"" target=""_blank"">Sarah Stram</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-29-credo-t-burn.mp3"" rel=""noopener"" target=""_blank"">Trudy Burnham</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-29-credo-j-sant.mp3"" rel=""noopener"" target=""_blank"">Jai Santoro</a>."
2018-04-22,,,,,,"Coming of Age: Credo statements (in Members area) by <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-22-credo-j-pods.mp3"" rel=""noopener"" target=""_blank"">Jacob Podsiadlo</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-22-credo-l-bene.mp3"" rel=""noopener"" target=""_blank"">Luke Benedict</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-22-credo-t-tess.mp3"" rel=""noopener"" target=""_blank"">Trent Tessier</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-22-credo-c-hadl.mp3"" rel=""noopener"" target=""_blank"">Cameron Hadland</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-22-credo-i-stur.mp3"" rel=""noopener"" target=""_blank"">Ivan Sturm</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-22-credo-j-tess.mp3"" rel=""noopener"" target=""_blank"">Jacob Tessier</a>, <a href=""https://legacy.uugroton.org/Members/coa-2018/2018-04-22-credo-i-conn.mp3"" rel=""noopener"" target=""_blank"">Izzy Conners</a>."
2018-04-15,Critical Yeast,,2018-04-15.mp3,,,
